title,description
Unified Audit Logging,"Close gaps in the existing audit schema by adding missing event types, binding actor identity to the authenticated principal once #4 lands, and exposing audit records via a service API endpoint."
Simple Monitoring (Prometheus / OpenTelemetry / Tracing / Status Page),"Wire control plane metrics into a Prometheus scrape endpoint, deploy a minimal OTel collector, add distributed tracing to the control plane, and publish a status page aggregating health and alert state."
Common Dead-Letter Queue Strategy,"Add a `worker_attempt_count` guard to the Postgres queue so submissions that repeatedly crash workers before writing a terminal state are capped, surfaced as a `dlq_depth` metric, and alertable."
PR/Preview Deployments,"Add Jenkins PR open/close triggers that automatically submit and clean up a preview deployment using the existing Cloudflare Pages preview machinery, reporting the preview URL as a PR comment."
Control Plane MCP Surface,"Promote the existing read-only MCP implementation to production-ready: harden auth under #4's principal model, wire the config toggle, cover all MCP v1 tools with a no-mutation regression test, and document the endpoint for external integrations."
Simple Control Plane Webapp,"Implement a read-only same-origin web UI on the control plane service: deployment list, queue depth, recent run history, and current stage state, protected by the same session/CSRF/grant model as the API."
Get Bob Set Up with viberoots-Based Monorepo,"Stand up a working viberoots-based monorepo for Bob: devshell, first successful build, first local deploy, and a short operator runbook covering the recurring development and deployment workflow."
Dry Run Deployment Flow with Bob / Iterate,"Walk Bob through a full protected/shared deploy against a real target, document every friction point, and iterate on CLI error messages, docs, and tooling until the flow is self-service from the runbook."
Rollout Strategy (Blue/Green vs. Canary vs. Simple Replace),"Decide which progressive rollout modes to support beyond `all_at_once` for each provider, define the `rollout_policy` declaration requirements, and implement at least one progressive mode for a provider that supports it."
Artifact Cache / Retention Tools and Policy,"Implement a batch GC command applying the existing per-run retention eligibility functions across all artifact objects, add `deleteObject` to the store interface, and sweep expired upload sessions whose S3 objects were never admitted."
Simple ADR Process / Conventions,"Write `docs/adrs/README.md` documenting the numbering convention, required format, four valid statuses, authorship and review expectations, and when to write an ADR vs. just committing code."
Document Simple SDLC,"Write `docs/handbook/sdlc.md` covering the full development lifecycle as it actually works: local dev with the nix devshell, Conventional Commits, the Jenkins CI stage pipeline, code review, merge, and the path to production."
Multi-Tenant Isolation Invariants / Design,"Produce a design document and follow-on ADR addressing open design questions for multi-tenant control plane operation: tenant identity, database isolation, API scoping, artifact namespace, Infisical credential boundaries, audit isolation, web UI scoping, and provisioning model."
Migration/Versioning Conventions for Infra + DB,"Define and document consistent conventions across migration surfaces: SQL application migrations, the control plane Postgres schema, versioned JSON payloads, and NixOS module option deprecations."
Decide Forking Strategy for downstream products / viberoots,"Evaluate and decide the repository relationship between viberoots (platform) and downstream product (product) — single monorepo, separate repos, or GitHub template — and document the chosen model and its implications for CI, secrets, and deployment identity."
Internal PKI / Service Auth Strategy,"Decide how services authenticate to each other (cert-manager, Infisical PKI, or SPIFFE/SPIRE), provision PKI certificates via OpenTofu, and update the control plane credential mount contract to support mTLS alongside the existing bearer token."
Secret Rotation Policy & Workflows,"Define rotation schedules and procedures for all credential classes, then implement the `--rotate-*` tooling and `refreshMode` semantics that make rotation safe for in-flight admitted runs without breaking replay or rollback."
Webhook Signature Verification Framework,"Extract the existing HMAC/`timingSafeEqual` pattern from artifact binding into a shared webhook verification helper, apply it to GitHub App webhook routes on the control plane, and register the webhook secret via SprinkleRef."
SBOM Generation,Generate an SPDX or CycloneDX SBOM from the Nix-built control plane OCI image at CI build time and attach it to the admitted artifact record via the existing `sbomRefs` field in `DeploymentCiAdmissionEvidence`.
Supply-Chain Scanning,"Add a `supply-chain-scan` CI stage running `govulncheck` on Go, `pnpm audit` on Node, and `grype`/`trivy` on the Nix-built OCI image, emitting evidence conforming to the existing `DeploymentCiAdmissionEvidence` supply-chain gate schema."
Validated Backup/Restore/Disaster Recovery Procedures,"Write and validate runbooks for Postgres PITR, S3 object replication, and Infisical credential backup against defined resilience targets, with restoration drills that include running a fixture deployment through the restored state."
Test Remote Execution of Builds & Tests,"Assess whether Buck2 remote execution is worth pursuing at current repo scale, evaluate at least two RE providers against the pinned Buck2 commit, and either configure a trial or produce a documented decision record for deferral."
Ragie Provisioning / Simple Integration,"Bootstrap the Ragie account, register the API key in Infisical via SprinkleRef, create `projects/libs/platform-ragie/` with the partition-per-tenant client, and validate ACL filter semantics against a live partition."
Explore Enabling Cloud-Run Agents,"Design the authorization model for AI agents operating over the read-only MCP surface, evaluate at least two agent frameworks, and build a narrow prototype demonstrating end-to-end audit traceability through `control_plane_audit_events`."
Autoscaling Policy & Tools,"Define the HPA policy for control plane workers (min 2 replicas, scale on `queue_depth` via KEDA or Prometheus Adapter), implement it as OpenTofu resources in the k8s stack, and set `terminationGracePeriodSeconds` conservatively to avoid mid-execution scale-down."
Clean Up / Organize viberoots Docs,"Archive stale content (`build-history/`, `design-history/`, completed migration runbooks), add a `docs/README.md` navigation index, update the top-level `README.md` with a project overview, and remove the committed `.DS_Store`."
Make viberoots Public,"Complete the pre-flight checklist before setting the repo to public: entropy-based history audit, `LICENSE` file, responsible disclosure policy, resolve `kiltyj` namespace references in auth config, CC BY-SA 4.0 attribution for `METHODOLOGY.XML`, and harden fork-PR CI secret exposure."
Changelog Generation,"Configure `git-cliff` with a `cliff.toml`, define the release tagging convention, add a CI stage that generates the changelog on tagged commits, and optionally surface `changelogRef` in `DeploymentCiAdmissionEvidence`."
